type,ngram,coef
positive,life,2.1703070366596675
positive,great,1.8287520202788943
positive,truman,1.595835211269979
positive,world,1.5078155148251904
positive,family,1.3887039724214094
positive,excellent,1.2990015246160767
positive,best,1.2076770680003523
positive,fun,1.197831467792449
positive,quite,1.189219566892232
positive,war,1.1867247449840743
positive,true,1.1066024893550817
positive,performance,1.104738145719871
positive,jackie,1.0877141977345792
positive,bulworth,1.081187899861075
positive,gives,1.0728544663402708
positive,titanic,1.065789065420189
positive,perfect,1.0531538532031222
positive,american,1.0273456322463133
positive,perfectly,1.025740253385106
positive,overall,1.0253316570601834
positive,terrific,1.010043213169108
positive,different,1.0084562214217974
positive,cameron,1.0061724954013616
positive,love,0.9987097402258086
positive,hilarious,0.9980772041890441
negative,bad,-3.6171360328996367
negative,plot,-2.185276303902318
negative,worst,-2.0709846801614913
negative,boring,-1.9070219569339992
negative,movie,-1.8325915848198815
negative,supposed,-1.6561035350323532
negative,stupid,-1.6276908624172177
negative,harry,-1.5545830066797643
negative,poor,-1.5072560658365937
negative,looks,-1.455901433437818
negative,script,-1.392388586774172
negative,just,-1.3387978389662545
negative,awful,-1.3148803107587979
negative,reason,-1.3143143108722346
negative,waste,-1.304438380000222
negative,dull,-1.2860136429926934
negative,unfortunately,-1.2752617117320515
negative,ridiculous,-1.2454295860298337
negative,attempt,-1.2111357006936214
negative,tv,-1.1862005861310736
negative,terrible,-1.127157097749938
negative,lame,-1.1129349628986374
negative,mess,-1.1032983452129954
negative,wasted,-1.0703351431654657
negative,fails,-1.0467097623082897
